"Title","Subtitle","Downloads"
"The Online World","Odd De Presno","2760"
"Scientific American Supplement, No. 433, April 19, 1884","Various","1438"
"Project Gutenberg ""10K"" DVD","N/A","1428"
"How it Works","Archibald Williams","1377"
"Scientific  American, Volume XXXVI., No. 8, February 24, 1877","Various","1303"
"Scientific  American, Volume XXIV., No. 12,  March 18, 1871","Various","1220"
"The Jargon File, Version 4.2.2, 20 Aug 2000","N/A","1066"
"The Boy Electrician","Alfred Powell Morgan","1065"
"Forty-Five Years of Digitizing Ebooks: Project Gutenberg's Practices","Gregory B. Newby","1033"
"The Pencil of Nature","William Henry Fox Talbot","980"
"Soap-Making Manual","Edgar George Thomssen","972"
"Creative Chemistry: Descriptive of Recent Achievements in the Chemical Industries","Edwin E. Slosson","944"
"Scientific American, Volume 40, No. 13, March 29, 1879","Various","934"
"Transactions of the American Society of Civil Engineers, vol. LXVIII, Sept. 1910","Benjamin Franklin Cresson","933"
"The Boy Mechanic, Book 2: 1000 Things for Boys to Do","N/A","891"
"Technology and Books for All","Marie Lebert","851"
"An Introduction to Machine Drawing and Design","David Allan Low","834"
"The Manufacture of Paper","R. W. Sindall","760"
"Scientific American, Vol. XXXVII.—No. 2. [New Series.], July 14, 1877","Various","742"
"How to Succeed as an Inventor","Goodwin Brooke Smith","738"
"Water Supply: the Present Practice of Sinking and Boring Wells","Ernest Spon","723"
"A Practical Treatise on Gas-light","Friedrich Christian Accum","713"
"The Boy Mechanic, Volume 1: 700 Things for Boys to Do","N/A","701"
"Nitro-Explosives: A Practical Treatise","P. Gerald Sanford","692"
"Practical Mechanics for Boys","James Slough Zerbe","666"
"The inventions, researches and writings of Nikola Tesla","Thomas Commerford Martin","665"
"Scientific American magazine Vol 2. No. 3 Oct 10 1846","Various","656"
"Electric Bells and All About Them: A Practical Book for Practical Men","Selimo Romeo Bottone","651"
"Jane's All the World's Aircraft. 1913","N/A","647"
"Le Dictionnaire du NEF (French)","Marie Lebert","645"
"Scientific American Supplement, No. 647,  May 26, 1888","Various","641"
"Chlorination of Water","Joseph Race","624"
"Scientific American Supplement, No. 841, February 13, 1892","Various","622"
"Big Dummy's Guide to the Internet","Electronic Frontier Foundation","609"
"The Food of the Gods","Brandon Head","599"
"The Internet and Languages [around the year 2000]","Marie Lebert","549"
"The Hacker Crackdown: Law and Disorder on the Electronic Frontier","Bruce Sterling","534"
"A handbook of laboratory glass-blowing","Bernard D. Bolas","529"
"Opportunities in Aviation","Arthur Sweetser and Gordon Lamont","528"
"Scientific American magazine, Vol. 2 Issue 1","Various","527"
"Three textile raw materials and their manufacture","International Acceptance Bank","519"
"John Deere's Steel Plow","Edward C. Kendall","518"
"The First Airplane Diesel Engine: Packard Model DR-980 of 1928","Robert B. Meyer","516"
"Scientific American Supplement, No. 443,  June 28, 1884","Various","494"
"Educational Toys","Louis Christian Petersen","493"
"Things To Make","Archibald Williams","484"
"Fireplaces and Chimneys","Arthur H. Senner and T. A. H. Miller","477"
"Henley's Twentieth Century Formulas, Recipes and Processes","N/A","451"
"Steam Engines","Anonymous","435"
"The Condition and Tendencies of Technical Education in Germany","Arthur Henry Chamberlain","427"
"Les mutations du livre (French)","Marie Lebert","419"
"The Working of Steel","Fred H. Colvin and K. A. Juthe","417"
"English-French and French-English dictionary of the motor car, cycle, and boat","Frederick Lucas","417"
"Opportunities in Engineering","Charles M. Horton","408"
"Acetylene, the Principles of Its Generation and Use","F. H. Leeds and W. J. Atkinson Butterfield","403"
"Illustrated Catalogue of Locomotives; Baldwin Locomotive Works","Baldwin Locomotive Works","393"
"The Wonder Book of Knowledge","N/A","393"
"Ancient Egyptian and Greek Looms","H. Ling Roth","388"
"The story of the invention of steel pens :  with a description of the manufacturing process by which they are produced","Henry Bore","387"
"Seasoning of Wood","J. B. Wagner","378"
"Motion Pictures of the Apollo 11 Lunar Landing","United States","375"
"The Traveling Engineers' Association to Improve the Locomotive Engine Service of American Railroads","Traveling Engineers' Association","372"
"Transactions of the American Society of Civil Engineers, Vol. LXVIII, Sept. 1910","Bertram Henry Majendie Hewett and W. L. Brown","370"
"The Report on Unidentified Flying Objects","Edward J. Ruppelt","367"
"Entretiens / Interviews / Entrevistas (Spanish) (French)","Marie Lebert","366"
"The Early History of the Airplane","Orville Wright and Wilbur Wright","362"
"An Analysis of the Lever Escapement","H. R. Playtner","359"
"The Jacquard Machine Analyzed and Explained","E. A. Posselt","359"
"The Romance of Modern Mechanism","Archibald Williams","350"
"Scientific American Supplement, No. 365, December 30, 1882","Various","337"
"Mariner Mission to Venus","Jet Propulsion Laboratory","332"
"Hackers, Heroes of the Computer Revolution. Chapters 1 and 2","Steven Levy","331"
"The Draughtsman's Handbook of Plan and Map Drawing","George G. André","331"
"Mechanics of the Household","E. S. Keene","328"
"Experiments with Alternate Currents of High Potential and High Frequency","Nikola Tesla","326"
"The Dyeing of Cotton Fabrics: A Practical Handbook for the Dyer and Student","Franklin Beech","326"
"Time and Its Measurement","James Arthur","325"
"Entretiens (1998-2001) (French)","Marie Lebert","323"
"Debian GNU/Linux : Guide to Installation and Usage","John Goerzen and Ossama Othman","314"
"Makers","Cory Doctorow","309"
"Project Gutenberg (1971-2008)","Marie Lebert","308"
"Measuring Tools","Unknown","305"
"Textiles, for Commercial, Industrial, and Domestic Arts Schools","William H. Dooley","303"
"The Practical Values of Space Exploration","United States. Congress. House. Committee on Science and Astronautics.","302"
"A Text-book of Tanning","H. R. Procter","302"
"Alcoholic Fermentation","Arthur Harden","301"
"Underground: Hacking, madness and obsession on the electronic frontier","Suelette Dreyfus","298"
"Six Cups of Coffee","Marion Harland, Maria Parloa, Helen Campbell, Mary J. Lincoln, Catherine Owen, Juliet Corson, and Hester M. Poole","294"
"Paper-Cutting Machines","Jr. Niel Gray","293"
"Frye's Practical Candy Maker","George V. Frye","292"
"Electricity for Boys","James Slough Zerbe","292"
"Mechanics: The Science of Machinery","A. Russell Bond","289"
"Mechanical Drawing Self-Taught","Joshua Rose","287"
"Terminal Compromise","Winn Schwartau","283"
"The Jargon File, Version 2.9.10, 01 Jul 1992","N/A","274"
"The World of Flying Saucers: A Scientific Examination of a Major Myth of the Space Age","Donald H. Menzel and Lyle Gifford Boyd","274"
"A Course In Wood Turning","Archie Seldon Milton and Otto K. Wohlers","266"
"Handwork in Wood","William Noyes","263"
"The Flying Saucers are Real","Donald E. Keyhoe","262"
"Transactions of the American Society of Civil Engineers, vol. LXVIII, Sept. 1910","James H. Brace, Francis Mason, and S. H. Woodard","262"
"The Chemistry of Hat Manufacturing","Watson Smith","259"
"Human Foods and Their Nutritive Value","Harry Snyder","258"
"Steam, Its Generation and Use","Babcock & Wilcox Company","255"
"Elements of Plumbing","Samuel Edward Dibble","253"
"The Library of Work and Play: Mechanics, Indoors and Out","Fred. T. Hodgson","248"
"A Short History of EBooks","Marie Lebert","244"
"The Use of Ropes and Tackle","Homer J. Dana and W. A. Pearl","242"
"Bromide Printing and Enlarging","John A. Tennant","242"
"On the Origin of Clockwork, Perpetual Motion Devices, and the Compass","Derek J. de Solla Price","240"
"The Dwelling House","George Vivian Poore","240"
"Hawkins Electrical Guide v. 08 (of 10)","N. Hawkins","236"
"The Progress of Invention in the Nineteenth Century.","Edward W. Byrn","232"
"The History of the Telephone","Herbert Newton Casson","228"
"Hitchhiker's Guide to the Internet","Ed Krol","228"
"Instruction for Using a Slide Rule","W. Stanley","228"
"Rustic Carpentry","N/A","225"
"Popular Technology; or, Professions and Trades. Vol. 1 (of 2)","Edward Hazen","224"
"Manual Training Toys for the Boy's Workshop","Harris W. Moore","223"
"Harrods for Everything","Harrods Ltd.","223"
"The Radio Amateur's Hand Book","A. Frederick Collins","219"
"Motors","James Slough Zerbe","219"
"Letters of a Radio-Engineer to His Son","John Mills","217"
"Diggers in the Earth","Eva March Tappan","215"
"Inventions in the Century","William Henry Doolittle","213"
"Practical Hand Book of Gas, Oil and Steam Engines","John B. Rathbun","213"
"Handbook of Railroad Construction; For the use of American engineers.","George L. Vose","212"
"How to Become an Engineer","Frank W. Doughty","212"
"The Real Cyberpunk Fakebook","St. Jude, R. U. Sirius, and Bart Nagel","209"
"Aviation Engines: Design—Construction—Operation and Repair","Victor Wilfred Pagé","208"
"Stories of Great Inventors","Hattie E. Macomber","208"
"A Manual of Shoemaking and Leather and Rubber Products","William H. Dooley","206"
"The Evolution of Photography","active 1854-1890 John Werge","206"
"Workshop on Electronic Texts: Proceedings, 9-10 June 1992","Library of Congress","204"
"Zen and the Art of the Internet","Brendan P. Kehoe","203"
"Boys' Second Book of Inventions","Ray Stannard Baker","201"
"Coal, and What We Get from It","Raphael Meldola","201"
"Del libro impreso al libro digital (Spanish)","Marie Lebert","200"
"The beginnings of cheap steel","Philip W. Bishop","198"
"Booknology: The eBook (1971-2010)","Marie Lebert","197"
"The American Printer: A Manual of Typography","Thomas MacKellar","197"
"The History and Practice of the Art of Photography","Henry Hunt Snelling","196"
"Paper-bag Cookery","Countess Vera Serkoff","195"
"A Practical Handbook on the Distillation of Alcohol from Farm Products","F. B. Wright","194"
"Venus Equilateral","George O. Smith","193"
"Photographic Amusements, Ninth Edition","Walter E. Woodbury","192"
"A Dictionary of Arts, Manufactures and Mines","Andrew Ure","192"
"American Hand Book of the Daguerreotype","S. D. Humphrey","190"
"The 'Pioneer': Light Passenger Locomotive of 1851","John H. White","190"
"Electric Transmission of Water Power","Alton D. Adams","190"
"Seattle Car & Foundry Company, Catalogue No. 3, December, 1913","Seattle Car and Foundry Company","189"
"The web, a multilingual encyclopedia","Marie Lebert","186"
"The gunsmith's manual :  A complete handbook for the American gunsmith, being a practical guide to all branches of the trade","J. Parish Stelle and Wm. B. Harrison","185"
"Scientific American Supplement, No. 483, April 4, 1885","Various","185"
"Cooley's Cyclopædia of Practical Receipts and Collateral Information in the Arts, Manufactures, Professions, and Trades..., Sixth Edition, Volume I","Arnold James Cooley and Richard Vine Tuson","184"
"Dictionary of Explosives","Arthur Marshall","184"
"The Silicon Jungle","David H. Rothman","183"
"The Lady's Album of Fancy Work for 1850","Unknown","182"
"ABC of the Steel Square and Its Uses","Fred. T. Hodgson","180"
"The Story of the Pullman Car","Joseph Husband","180"
"The Romance of Modern Invention","Archibald Williams","180"
"Carpentry and Woodwork","Edwin W. Foster","179"
"Making Your Camera Pay","Frederick C. Davis","179"
"Les langues sur le web (French)","Marie Lebert","178"
"Concrete Construction: Methods and Costs","Halbert Powers Gillette and Charles Shattuck Hill","178"
"The Modern Railroad","Edward Hungerford","175"
"L'Internet et les langues (French)","Marie Lebert","174"
"Surfing the Internet: An Introduction","Jean Armour Polly","174"
"On Laboratory Arts","Richard Threlfall","173"
"The Modern Clock","Ward L. Goodrich","173"
"Farm Engines and How to Run Them: The Young Engineer's Guide","James H. Stephenson","173"
"The manufacture of mineral and lake pigments :  Containing directions for the manufacture of all artificial artists' and painters' colours, enamel colours, soot and metallic pigments","Josef Bersch","172"
"Is a Ship Canal Practicable?","S. T. Abert","172"
"Photogravure","Henry R. Blaney","171"
"How to Install Electric Bells, Annunciators, and Alarms.","Norman H. Schneider","171"
"Naturalistic Photography for Students of the Art.","P. H. Emerson","171"
"The calculating engine","Charles Babbage","170"
"Computers—the machines we think with","D. S. Halacy","169"
"Army Pulse Radiation Facility","U.S. Army Ballistic Research Laboratory","169"
"Appletons' Popular Science Monthly, March 1900","Various","166"
"A Manual of Mending and Repairing; With Diagrams","Charles Godfrey Leland","166"
"An embroidery book","Anne Knox Arthur","165"
"Scientific American Supplement, No. 711, August 17, 1889","Various","165"
"Pictorial Photography in America 1922","Pictorial Photographers of America","164"
"NetWorld! What People Are Really Doing on the Internet and What It Means to You","David H. Rothman","164"
"Making Tin Can Toys","Edward Thatcher","163"
"The Auburndale Watch Company :  first American attempt toward the dollar watch","Edwin A. Battison","163"
"Turning and Boring","Franklin Day Jones","163"
"Giant brains; or, Machines that think","Edmund Callis Berkeley","163"
"A History of Inventions, Discoveries, and Origins, Volume 2 (of 2)","Johann Beckmann","162"
"Scientific American Supplement, No. 623, December 10, 1887","Various","162"
"Flying Machines: Construction and Operation","William J. Jackman, Thomas Herbert Russell, and Octave Chanute","161"
"Marvel Carbureter and Heat Control","Anonymous","161"
"Pictorial Photography in America 1920","Pictorial Photographers of America","159"
"Federal Bureau of Investigation FOIA Documents - Unidentified Flying Objects","United States. Federal Bureau of Investigation","159"
"A Brief History of the Internet","Michael Hart and Maxwell Fuller","159"
"Steam Turbines","Hubert E. Collins","158"
"The eBook is 40 (1971-2011)","Marie Lebert","158"
"Gas-Engines and Producer-Gas Plants","Rodolphe Edgard Mathot","157"
"IBM 1401 Programming Systems","Anonymous","157"
"The Romance of Rubber","United States Rubber Company","157"
"The evolution of the steam locomotive (1803 to 1898)","George Augustus Nokes","156"
"Hawkins Electrical Guide v. 04 (of 10)","N. Hawkins","155"
"Bird Houses Boys Can Build","Albert Frederick Siepert","155"
"Laboratory Manual of Glass-Blowing","Francis C. Frary","154"
"Modern Machine-Shop Practice, Volumes I and II","Joshua Rose","153"
"D.C. Powered Timing Light Model 161.2158 for 12 Volt Ignition Systems","Roebuck and Company Sears","153"
"Home-made Toy Motors","Alfred Powell Morgan","152"
"Essex Terraplane Six 1933 Owner's Manual of Information","Hudson Motor Car Company","152"
"Hawkins Electrical Guide v. 01 (of 10)","N. Hawkins","152"
"Scientific American, Vol. XLIII.—No. 1. [New Series.], July 3, 1880","Various","151"
"Scientific American Supplement, No. 664, September 22,1888","Various","151"
"Electricity for the farm","Frederick Irving Anderson","150"
"The Radio Amateur's Hand Book","A. Frederick Collins","150"
"The Chemistry of Cookery","W. Mattieu Williams","150"
"Pumps and Hydraulics, Part 1 (of 2)","N. Hawkins","148"
"The Romance of Industry and Invention","N/A","148"
"The Fireless Cook Book","Margaret Johnes Mitchell","148"
"The Classification of Patents","United States. Patent Office","146"
"Scientific American Supplement, No. 388, June 9, 1883","Various","146"
"The Project Gutenberg RST Manual","Marcello Perathoner","146"
"A text-book of assaying :  for the use of those connected with mines.","C. Beringer and J. J. Beringer","145"
"Illustrated Science for Boys and Girls","Anonymous","145"
"Fences, Gates and Bridges: A Practical Manual","N/A","144"
"Scientific  American, Volume XLIII., No. 25, December 18, 1880","Various","144"
"Transactions of the American Society of Civil Engineers, vol. LXVIII, Sept. 1910","Charles M. Jacobs","144"
"The Labour-saving House","Mrs. C. S. Peel","143"
"Friction, Lubrication and the Lubricants in Horology","W. T. Lewis","143"
"English and American tool builders","Joseph Wickham Roe","142"
"Una corta historia del eBook (Spanish)","Marie Lebert","141"
"El Internet y los idiomas [alrededor del año 2000] (Spanish)","Marie Lebert","141"
"A Treatise on Bread, and Bread-making","Sylvester Graham","141"
"The boy mechanic, book 3 :  800 things for boys to do","N/A","140"
"The Principles of Leather Manufacture","H. R. Procter","139"
"The Aeroplane Speaks. Fifth Edition","H. Barber","139"
"How To Build A 20-Foot Bi-Plane Glider","Alfred Powell Morgan","139"
"Railway Construction","William Hemingway Mills","139"
"El ebook tiene 40 años (1971-2011) (Spanish)","Marie Lebert","139"
"Handbuch der praktischen Kinematographie (German)","Franz Paul Liesegang","138"
"Samuel F. B. Morse, His Letters and Journals","Samuel Finley Breese Morse","138"
"Cyclopedia of Telephony and Telegraphy, Vol. 1","American School of Correspondence","138"
"The Invention of the Track Circuit","American Railway Association","137"
"The Dyeing of Woollen Fabrics","Franklin Beech","137"
"From Immigrant to Inventor","Michael Pupin","137"
"Multilingualism on the Web","Marie Lebert","136"
"Introduction of the Locomotive Safety Truck","John H. White","136"
"Development of the Phonograph at Alexander Graham Bell's Volta Laboratory","Leslie J. Newville","134"
"The engineer's sketch-book of mechanical movements, devices, appliances, contrivances and details employed in the design and construction of machinery for every purpose :  classified & arranged for reference for the use of engineers, mechanical draughtsmen, managers, mechanics, inventors, patent agents, and all engaged in the mechanical arts","Thomas Walter Barber","134"
"Le tour de France en aéroplane (French)","H. de Graffigny","134"
"The Dawn of Amateur Radio in the U.K. and Greece: A Personal View","Norman F. Joly","134"
"Wireless Telegraph Construction For Amateurs","Alfred Powell Morgan","133"
"TrendSiters Digital Content and Web Technologies","Samuel Vaknin","132"
"Copper Work: A Text Book for Teachers and Students in the Manual Arts","Augustus F. Rose","132"
"The 1893 Duryea Automobile In the Museum of History and Technology","Donald H. Berkebile","131"
"Model aeroplanes","F. J. Camm","131"
"The Modern Bicycle and Its Accessories","Alex Schwalbach and Julius Wilcox","131"
"Scientific American, Vol. XXXIX.No. 6. [New Series.], August 10, 1878","Various","131"
"How It Flies; or, The Conquest of the Air","Richard Ferris","130"
"The Automobile Storage Battery: Its Care And Repair","Otto A. Witte","130"
"Marvels of Scientific Invention","Thomas W. Corbin","129"
"How to Draw a Straight Line: A Lecture on Linkages","A. B. Kempe","129"
"Scientific American Supplement, No. 514, November 7, 1885","Various","129"
"Booknologie: Le livre numérique (1971-2010) (French)","Marie Lebert","129"
"Appletons' Popular Science Monthly, February 1899","Various","129"
"The Popular Science Monthly, October, 1900","Various","129"
"Le Livre 010101: Enquête (French)","Marie Lebert","128"
"The Birth and Babyhood of the Telephone","Thomas Augustus Watson","128"
"Elementary woodworking","Edwin W. Foster","128"
"Free as in Freedom: Richard Stallman's Crusade for Free Software","Sam Williams","128"
"Lives of Boulton and Watt. Principally from the Original Soho Mss.","Samuel Smiles","128"
"Hemp Hurds as Paper-Making Material","Lyster H. Dewey and Jason L. Merrill","127"
"Keely and His Discoveries: Aerial Navigation","Mrs. Bloomfield H. Moore","127"
"Home Canning of Fruits and Vegetables","United States. Agricultural Research Service. Human Nutrition Research Division","126"
"Aeroplane Construction and Operation","John B. Rathbun","126"
"Table traits, with something on them","Dr. Doran","126"
"Screw-Thread Cutting by the Master-Screw Method since 1480","Edwin A. Battison","126"
"Kodaks and Kodak Supplies, 1914","Canadian Kodak Company","126"
"Home Canning of Fruits and Vegetables","United States. Agricultural Research Service. Human Nutrition Research Division","126"
"Appletons' Popular Science Monthly, April 1900","Various","124"
